idx,zh,en,orig_id
0,麻婆豆腐,Mapo Tofu,0
1,宫保鸡丁,Kung Pao Chicken,71
2,回锅肉,Double Cooked Pork,84
3,鱼香肉丝,Yu-Shiang Shredded Pork,97
4,水煮鱼,Fish in Hot Chili Oil,112
5,鱼香茄子,Yu-Shiang Eggplant,11
6,酸辣土豆丝,Hot and Sour Potato,5
7,西红柿炒蛋,Tomato and Egg,50
8,地三鲜,Di San Xian,9
9,蚝油生菜,Oyster Sauce Lettuce,18
10,红烧肉,Braised Pork,77
11,糖醋排骨,Sweet and Sour Spareribs,58
12,梅菜扣肉,Pork with Salted Vegetable,83
13,京酱肉丝,Sweet Bean Pork,92
14,饺子,Dumplings,159
15,包子,Steamed Stuffed Bun,145
16,扬州炒饭,Yangzhou Fried Rice,130
17,炸酱面,Zhajiang Noodles,149
18,葱爆羊肉,Scallion Lamb,104
19,香辣小龙虾,Spicy Crayfish,118
